,name,0,industry
,intact,insurance,insurance
,university health network,Healthcare,healthcare
,yelp,Internet & Web Services,internet & web services
,queen's university,Education,education
,zebra technologies,computer hardware,computer hardware
,city of edmonton,Government & Public Administration,government & public administration
,dun & bradstreet,information technology and services,information technology and services
,vancouver coastal health,Healthcare,healthcare
,bc public service,Government & Public Administration,government & public administration
,westjet,airlines/aviation,airlines/aviation
,walmart canada,retail,retail
,dell technologies,information technology and services,information technology and services
,dalhousie university,Education,education
,university of saskatchewan,Education,education
,gameloft,computer games,computer games
,transunion,information technology and services,information technology and services
,capco,financial services,financial services
,the home depot canada,retail,retail
,getty images,photography,photography
,the ottawa hospital,Healthcare,healthcare
,morningstar,financial services,financial services
,the co-operators,insurance,insurance
,mnp,accounting,accounting
,bdo,accounting,accounting
,saatchi & saatchi,marketing and advertising,marketing and advertising
,enbridge,oil & energy,oil & energy
,ledcor,construction,construction
,s&p global,information technology and services,information technology and services
,metro inc.,retail,retail
,brp,consumer goods,consumer goods
,teck resources limited,"Energy, Mining, Utilities","energy, mining, utilities"
,st. michael's hospital,Healthcare,healthcare
,fdm group,information technology and services,information technology and services
,kinross gold corporation,"Energy, Mining, Utilities","energy, mining, utilities"
,centennial college,Education,education
,sanofi,Pharmaceutical & Biotechnology,pharmaceutical & biotechnology
,government of saskatchewan,Government & Public Administration,government & public administration
,national research council canada,research,research
,aecom,civil engineering,civil engineering
,shopify,Internet & Web Services,internet & web services
,sheridan college,Education,education
,canadian food inspection agency,Government & Public Administration,government & public administration
,wilfrid laurier university,Education,education
,square,financial services,financial services
,bgis,facilities services,facilities services
,breakthru beverage group,wine and spirits,wine and spirits
,statistics canada,Government & Public Administration,government & public administration
,city of hamilton,Government & Public Administration,government & public administration
,nait,Education,education
,canadian red cross,Non-profit & NGO,non-profit & ngo
,banque laurentienne,banking,banking
,cabinet office,Government & Public Administration,government & public administration
,softchoice,information technology and services,information technology and services
,extreme networks,computer networking,computer networking
,veeva systems,computer software,computer software
,city of brampton,Government & Public Administration,government & public administration
,economical insurance,insurance,insurance
,pinterest,Internet & Web Services,internet & web services
,gildan,apparel & fashion,apparel & fashion
,avid technology,computer software,computer software
,providence health care,Healthcare,healthcare
,toyota motor manufacturing canada,automotive,automotive
,aritzia,retail,retail
,trillium health partners,Healthcare,healthcare
,zynga,computer games,computer games
,irving oil,oil & energy,oil & energy
,unity technologies,computer software,computer software
,university of waterloo,Education,education
,canfor,paper & forest products,paper & forest products
,vancity,financial services,financial services
,university of regina,Education,education
,aspen technology,computer software,computer software
,toromont cat,machinery,machinery
,bank of canada,banking,banking
,cision,public relations and communications,public relations and communications
,wood mackenzie,oil & energy,oil & energy
,transalta,utilities,utilities
,southlake regional health centre,Healthcare,healthcare
,simcorp,financial services,financial services
,st. joseph's healthcare hamilton,Healthcare,healthcare
,g adventures,"leisure, travel & tourism","leisure, travel & tourism"
,fleetcor,financial services,financial services
,simcoe county district school board,Education,education
,ontario teachers' pension plan,investment management,investment management
,pointclickcare,computer software,computer software
,english montreal school board,Education,education
,kroll,security and investigations,security and investigations
,hireright,information technology and services,information technology and services
,emco corporation,wholesale,wholesale
,thumbtack,Internet & Web Services,internet & web services
,ventura foods,food production,food production
,west fraser,paper & forest products,paper & forest products
,symcor,financial services,financial services
,telus international,outsourcing/offshoring,outsourcing/offshoring
,sierra wireless,wireless,wireless
,allstate canada,insurance,insurance
,halton region,Government & Public Administration,government & public administration
,capilano university,Education,education
,alithya,information technology and services,information technology and services
,alberta motor association,consumer services,consumer services
,crescent point energy,oil & energy,oil & energy
,carfax,information technology and services,information technology and services
,sharkninja,consumer goods,consumer goods
,translink,transportation/trucking/railroad,transportation/trucking/railroad
,longo's,supermarkets,supermarkets
,fct,insurance,insurance
,innovapost,information technology and services,information technology and services
,bcaa,insurance,insurance
,d2l,e-learning,e-learning
,talan,information technology and services,information technology and services
,wattpad,Internet & Web Services,internet & web services
,priceline.com,Internet & Web Services,internet & web services
,ardene,retail,retail
,kabam,entertainment,entertainment
,harris computer systems,computer software,computer software
,infrastructure ontario,construction,construction
,mcap,financial services,financial services
,canadian institute for health information,Healthcare,healthcare
,sun life financial,insurance,insurance
,guillevin international,electrical/electronic manufacturing,electrical/electronic manufacturing
,skipthedishes,Internet & Web Services,internet & web services
,opendoor,real estate,real estate
,conexus credit union,financial services,financial services
,usertesting,Internet & Web Services,internet & web services
,absolute software,computer software,computer software
,apple,computer software,computer software
,ssense,retail,retail
,appdirect,Internet & Web Services,internet & web services
,fiera capital,investment management,investment management
,airbus,aviation & aerospace,aviation & aerospace
,drw,financial services,financial services
,bc housing,Government & Public Administration,government & public administration
,co-operators,insurance,insurance
,fedex express canada,package/freight delivery,package/freight delivery
,county of simcoe,Government & Public Administration,government & public administration
,kinectrics,utilities,utilities
,canada revenue agency,Government & Public Administration,government & public administration
,city of kelowna,Government & Public Administration,government & public administration
,jam city,computer games,computer games
